feature,coefficient,abs_coefficient
peak_minus_mean,2.897029501585319,2.897029501585319
peak_over_mean_ratio,-2.848133061992732,2.848133061992732
peak_acc,2.733579371006491,2.733579371006491
acc_variance,-2.21549982683629,2.21549982683629
jerk_mean,-1.367771123384629,1.367771123384629
jerk_rms,1.361987207927229,1.361987207927229
post_impact_motion_to_peak_ratio,1.0123120159200119,1.0123120159200119
post_impact_dyn_ratio_rms,0.9168320941823587,0.9168320941823587
post_impact_dyn_rms,0.9168320941823587,0.9168320941823587
gyro_mean,-0.8140041429736495,0.8140041429736495
post_impact_motion,-0.7069796185296894,0.7069796185296894
post_impact_variance,-0.5002805410106506,0.5002805410106506
post_impact_dyn_ratio_mean,-0.2838078951360611,0.2838078951360611
post_impact_dyn_mean,-0.2838078951360611,0.2838078951360611
gyro_peak,0.21653268137262574,0.21653268137262574
acc_baseline,-0.196047993827079,0.196047993827079
stage_impact_pass,0.13566668331436038,0.13566668331436038
jerk_peak,0.12080197782108684,0.12080197782108684
mean_acc,-0.03996312936032131,0.03996312936032131
stage_support_pass,0.0,0.0
stage_confirm_pass,0.0,0.0
