threshold,score
0.4,0.59644128113879
0.35,0.5955563122499361
0.3,0.5905352345525935
0.45,0.5891876264816421
0.55,0.5865840107608632
0.25,0.5864417774894584
0.2,0.5832267348896706
0.5,0.5828851376537622
0.15,0.5784942009042657
0.1,0.5675800138153351
0.05,0.5575652957069949
0.6,0.47386700550614147
0.65,0.2390946049884628
0.7,0.1455756422454805
0.75,0.0741485484479075
0.8,0.06365844305253739
0.85,0.05254983173699197
0.9,0.044386422976501305
0.95,0.03344305464121132
